cds,ccode,cdcode,scode,rtype,sname,dname,cname,enroll,numtsttakr,pctmathbenchmark,totnumbothbenchmark,pctbothbenchmark,year
1100170112607.0,1.0,110017.0,112607.0,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,81.0,83.0,10.84,9,10.84,2017
1611190106401.0,1.0,161119.0,106401.0,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44.0,44.0,90.91,39,88.64,2017
1611190119222.0,1.0,161119.0,119222.0,S,Nea Community Learning Center,Alameda Unified,Alameda,16.0,15.0,26.67,4,26.67,2017
1611190130229.0,1.0,161119.0,130229.0,S,Alameda High,Alameda Unified,Alameda,419.0,278.0,76.26,205,73.74,2017
1611190130609.0,1.0,161119.0,130609.0,S,Alameda Community Learning Center,Alameda Unified,Alameda,52.0,36.0,75.00,26,72.22,2017
1611190130625.0,1.0,161119.0,130625.0,S,Alternatives in Action,Alameda Unified,Alameda,30.0,17.0,5.88,1,5.88,2017
1611270130450.0,1.0,161127.0,130450.0,S,Albany High,Albany City Unified,Alameda,295.0,153.0,84.31,125,81.70,2017
1611430122697.0,1.0,161143.0,122697.0,S,REALM Charter High,Berkeley Unified,Alameda,63.0,39.0,28.21,11,28.21,2017
1611430131177.0,1.0,161143.0,131177.0,S,Berkeley High,Berkeley Unified,Alameda,781.0,451.0,70.29,308,68.29,2017
1611500132225.0,1.0,161150.0,132225.0,S,Castro Valley High,Castro Valley Unified,Alameda,714.0,410.0,76.34,303,73.90,2017
1611680132746.0,1.0,161168.0,132746.0,S,Emery Secondary,Emery Unified,Alameda,35.0,15.0,46.67,7,46.67,2017
1611760130062.0,1.0,161176.0,130062.0,S,American High,Fremont Unified,Alameda,510.0,335.0,83.28,275,82.09,2017
1611760134270.0,1.0,161176.0,134270.0,S,Irvington High,Fremont Unified,Alameda,495.0,312.0,90.06,277,88.78,2017
1611760134452.0,1.0,161176.0,134452.0,S,John F. Kennedy High,Fremont Unified,Alameda,362.0,152.0,55.92,81,53.29,2017
1611760135244.0,1.0,161176.0,135244.0,S,Mission San Jose High,Fremont Unified,Alameda,476.0,367.0,97.00,354,96.46,2017
1611760138693.0,1.0,161176.0,138693.0,S,Washington High,Fremont Unified,Alameda,430.0,210.0,79.52,166,79.05,2017
1611920108670.0,1.0,161192.0,108670.0,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,134.0,112.0,45.54,48,42.86,2017
1611920113902.0,1.0,161192.0,113902.0,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,111.0,104.0,33.65,31,29.81,2017
1611920133629.0,1.0,161192.0,133629.0,S,Hayward High,Hayward Unified,Alameda,346.0,137.0,38.69,50,36.50,2017
1611920135319.0,1.0,161192.0,135319.0,S,Mt. Eden High,Hayward Unified,Alameda,491.0,209.0,47.85,92,44.02,2017
1611920138339.0,1.0,161192.0,138339.0,S,Tennyson High,Hayward Unified,Alameda,337.0,115.0,26.96,28,24.35,2017
1612000120931.0,1.0,161200.0,120931.0,S,Livermore Valley Charter Preparatory High,Livermore Valley Joint Unified,Alameda,86.0,75.0,57.33,43,57.33,2017
1612000133397.0,1.0,161200.0,133397.0,S,Granada High,Livermore Valley Joint Unified,Alameda,470.0,218.0,83.49,173,79.36,2017
1612000134536.0,1.0,161200.0,134536.0,S,Livermore High,Livermore Valley Joint Unified,Alameda,398.0,197.0,78.68,152,77.16,2017
1612340130054.0,1.0,161234.0,130054.0,S,Newark Memorial High,Newark Unified,Alameda,351.0,166.0,56.63,90,54.22,2017
1612420134668.0,1.0,161242.0,134668.0,S,James Logan High,New Haven Unified,Alameda,879.0,438.0,62.10,259,59.13,2017
1612590100065.0,1.0,161259.0,100065.0,S,Oakland Unity High,Oakland Unified,Alameda,62.0,44.0,36.36,12,27.27,2017
1612590100701.0,1.0,161259.0,100701.0,S,MetWest High,Oakland Unified,Alameda,40.0,39.0,7.69,3,7.69,2017
1612590108944.0,1.0,161259.0,108944.0,S,Lighthouse Community Charter High,Oakland Unified,Alameda,49.0,52.0,46.15,20,38.46,2017
1612590110189.0,1.0,161259.0,110189.0,S,McClymonds High,Oakland Unified,Alameda,75.0,57.0,8.77,4,7.02,2017
1612590111856.0,1.0,161259.0,111856.0,S,American Indian Public High,Oakland Unified,Alameda,29.0,28.0,75.00,19,67.86,2017
1612590112797.0,1.0,161259.0,112797.0,S,Coliseum College Prep Academy,Oakland Unified,Alameda,65.0,58.0,15.52,7,12.07,2017
1612590114868.0,1.0,161259.0,114868.0,S,Oakland Charter High,Oakland Unified,Alameda,82.0,80.0,73.75,54,67.50,2017
1612590115238.0,1.0,161259.0,115238.0,S,ARISE High,Oakland Unified,Alameda,52.0,47.0,14.89,6,12.77,2017
1612590115667.0,1.0,161259.0,115667.0,S,Oakland International High,Oakland Unified,Alameda,86.0,43.0,6.98,2,4.65,2017
1612590118224.0,1.0,161259.0,118224.0,S,Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,41.0,31.0,16.13,5,16.13,2017
1612590125161.0,1.0,161259.0,125161.0,S,Castlemont High,Oakland Unified,Alameda,120.0,71.0,4.23,3,4.23,2017
1612590125716.0,1.0,161259.0,125716.0,S,Fremont High,Oakland Unified,Alameda,128.0,108.0,3.70,4,3.70,2017
1612590126748.0,1.0,161259.0,126748.0,S,LPS Oakland R & D Campus,Oakland Unified,Alameda,57.0,53.0,16.98,9,16.98,2017
1612590130179.0,1.0,161259.0,130179.0,S,Street Academy (Alternative),Oakland Unified,Alameda,24.0,26.0,0.00,0,0.00,2017
1612590130575.0,1.0,161259.0,130575.0,S,LIFE Academy,Oakland Unified,Alameda,63.0,63.0,14.29,8,12.70,2017
1612590130617.0,1.0,161259.0,130617.0,S,"Oakland Military Institute, College Preparatory Ac",Oakland Unified,Alameda,74.0,70.0,21.43,13,18.57,2017
1612590130666.0,1.0,161259.0,130666.0,S,Aspire Lionel Wilson College Preparatory Academy,Oakland Unified,Alameda,81.0,38.0,31.58,9,23.68,2017
1612590135905.0,1.0,161259.0,135905.0,S,Oakland High,Oakland Unified,Alameda,287.0,249.0,21.69,42,16.87,2017
1612590136051.0,1.0,161259.0,136051.0,S,Oakland Technical High,Oakland Unified,Alameda,476.0,433.0,55.66,231,53.35,2017
1612590137943.0,1.0,161259.0,137943.0,S,Skyline High,Oakland Unified,Alameda,383.0,337.0,23.44,66,19.58,2017
1612593030772.0,1.0,161259.0,3030772.0,S,Oakland School for the Arts,Oakland Unified,Alameda,107.0,81.0,51.85,42,51.85,2017
1612596066450.0,1.0,161259.0,6066450.0,S,Madison Park Academy 6-12,Oakland Unified,Alameda,62.0,73.0,10.96,6,8.22,2017
1612596114011.0,1.0,161259.0,6114011.0,S,"Independent Study, Sojourner Truth",Oakland Unified,Alameda,35.0,31.0,3.23,0,0.00,2017
1612750136515.0,1.0,161275.0,136515.0,S,Piedmont High,Piedmont City Unified,Alameda,198.0,101.0,92.08,92,91.09,2017
